week_start,week_end,Produit,Ville,Prix,Variation,Semaine,Source_File
2025-06-09,2025-06-15,Maïs séché en grains vendu au détail (1KG),Cotonou,296,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Maïs séché en grains vendu au détail (1KG),Porto-Novo,289,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Maïs séché en grains vendu au détail (1KG),Parakou,247,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Maïs séché en grains vendu au détail (1KG),Natitingou,216,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Maïs séché en grains vendu au détail (1KG),Bohicon,232,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Maïs séché en grains vendu au détail (1KG),Lokossa,297,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz en grains longs vendu au détail (1KG),Cotonou,639,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz en grains longs vendu au détail (1KG),Porto-Novo,595,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz en grains longs vendu au détail (1KG),Parakou,704,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz en grains longs vendu au détail (1KG),Natitingou,596,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz en grains longs vendu au détail (1KG),Bohicon,645,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz en grains longs vendu au détail (1KG),Lokossa,579,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sorgho (1KG),Cotonou,548,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sorgho (1KG),Porto-Novo,450,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sorgho (1KG),Parakou,371,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sorgho (1KG),Natitingou,227,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sorgho (1KG),Bohicon,374,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sorgho (1KG),Lokossa,626,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Mil (1KG),Cotonou,679,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Mil (1KG),Porto-Novo,607,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Mil (1KG),Parakou,506,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Mil (1KG),Natitingou,329,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Mil (1KG),Bohicon,424,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Mil (1KG),Lokossa,689,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Gari 2ème qualité (1 KG),Cotonou,425,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Gari 2ème qualité (1 KG),Porto-Novo,389,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Gari 2ème qualité (1 KG),Parakou,443,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Gari 2ème qualité (1 KG),Natitingou,433,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Gari 2ème qualité (1 KG),Bohicon,350,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Gari 2ème qualité (1 KG),Lokossa,409,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sucre raffiné en poudre (1 KG),Cotonou,546,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sucre raffiné en poudre (1 KG),Porto-Novo,567,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sucre raffiné en poudre (1 KG),Parakou,553,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sucre raffiné en poudre (1 KG),Natitingou,653,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sucre raffiné en poudre (1 KG),Bohicon,584,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Sucre raffiné en poudre (1 KG),Lokossa,889,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Haricot blanc (1 KG),Cotonou,821,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Haricot blanc (1 KG),Porto-Novo,657,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Haricot blanc (1 KG),Parakou,917,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Haricot blanc (1 KG),Natitingou,705,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Haricot blanc (1 KG),Bohicon,646,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Haricot blanc (1 KG),Lokossa,732,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Ignames (1 KG),Cotonou,1025,1.9,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Ignames (1 KG),Porto-Novo,1603,1.6,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Ignames (1 KG),Parakou,614,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Ignames (1 KG),Natitingou,323,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Ignames (1 KG),Bohicon,766,0.8,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Ignames (1 KG),Lokossa,1573,3.1,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Tomate fraiche (1 KG),Cotonou,963,12.8,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Tomate fraiche (1 KG),Porto-Novo,935,0.6,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Tomate fraiche (1 KG),Parakou,920,10.7,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Tomate fraiche (1 KG),Natitingou,762,14.6,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Tomate fraiche (1 KG),Bohicon,1016,5.3,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Tomate fraiche (1 KG),Lokossa,880,4.3,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Piment frais au kg (1 KG),Cotonou,907,-13.7,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Piment frais au kg (1 KG),Porto-Novo,1095,-0.4,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Piment frais au kg (1 KG),Parakou,1096,-7.7,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Piment frais au kg (1 KG),Natitingou,1201,-9.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Piment frais au kg (1 KG),Bohicon,1173,-12.9,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Piment frais au kg (1 KG),Lokossa,1039,-7.3,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Oignon frais rond (1 KG),Cotonou,542,4.8,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Oignon frais rond (1 KG),Porto-Novo,665,5.7,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Oignon frais rond (1 KG),Parakou,636,3.4,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
